Time,UTC_TIME,Open,High,Low,Close,Volume,CANDLE_TYPE
2025-12-04 19:45:00,2025-12-04 14:15:00,142.58,142.65,142.5,142.52,2190.116,Bearish
2025-12-04 19:50:00,2025-12-04 14:20:00,142.52,142.73,142.45,142.64,2574.546,Bullish
2025-12-04 19:55:00,2025-12-04 14:25:00,142.64,143.03,142.64,142.92,3272.51,Bullish
2025-12-04 20:00:00,2025-12-04 14:30:00,142.92,143.05,142.33,142.39,7410.709,Bearish
2025-12-04 20:05:00,2025-12-04 14:35:00,142.39,143.35,142.28,142.52,6183.775,Bullish
2025-12-04 20:10:00,2025-12-04 14:40:00,142.52,143.05,142.5,142.7,5661.77,Bullish
2025-12-04 20:15:00,2025-12-04 14:45:00,142.7,142.89,142.6,142.61,4070.449,Bearish
2025-12-04 20:20:00,2025-12-04 14:50:00,142.61,142.7,141.67,141.79,12459.273,Bearish
2025-12-04 20:25:00,2025-12-04 14:55:00,141.79,142.18,141.45,141.85,11062.759,Bullish
2025-12-04 20:30:00,2025-12-04 15:00:00,141.85,142.5,141.79,142.38,6758.862,Bullish
2025-12-04 20:35:00,2025-12-04 15:05:00,142.38,143.1,142.35,142.78,7521.829,Bullish
2025-12-04 20:40:00,2025-12-04 15:10:00,142.78,143.26,142.67,143.07,6905.749,Bullish
2025-12-04 20:45:00,2025-12-04 15:15:00,143.07,143.09,142.7,143.0,5802.031,Bearish
2025-12-04 20:50:00,2025-12-04 15:20:00,143.0,143.28,142.78,142.78,5216.468,Bearish
2025-12-04 20:55:00,2025-12-04 15:25:00,142.78,142.78,142.16,142.52,12735.089,Bearish
2025-12-04 21:00:00,2025-12-04 15:30:00,142.52,142.67,142.35,142.53,1641.327,Bullish
2025-12-04 21:05:00,2025-12-04 15:35:00,142.53,144.22,142.53,144.14,13211.929,Bullish
2025-12-04 21:10:00,2025-12-04 15:40:00,144.14,144.15,143.16,143.39,11671.434,Bearish
2025-12-04 21:15:00,2025-12-04 15:45:00,143.39,143.45,142.8,142.91,6745.345,Bearish
2025-12-04 21:20:00,2025-12-04 15:50:00,142.91,143.24,142.78,143.21,2930.598,Bullish
2025-12-04 21:25:00,2025-12-04 15:55:00,143.21,143.43,143.12,143.21,2945.757,Bearish
2025-12-04 21:30:00,2025-12-04 16:00:00,143.21,143.32,142.52,142.62,3857.373,Bearish
2025-12-04 21:35:00,2025-12-04 16:05:00,142.62,143.02,142.35,142.72,4189.95,Bullish
2025-12-04 21:40:00,2025-12-04 16:10:00,142.72,143.02,142.5,142.89,2038.802,Bullish
2025-12-04 21:45:00,2025-12-04 16:15:00,142.89,143.61,142.82,143.61,3429.68,Bullish
2025-12-04 21:50:00,2025-12-04 16:20:00,143.61,143.69,143.32,143.68,3036.185,Bullish
2025-12-04 21:55:00,2025-12-04 16:25:00,143.68,143.84,142.99,143.05,3157.772,Bearish
2025-12-04 22:00:00,2025-12-04 16:30:00,143.05,143.17,142.85,142.87,6482.813,Bearish
2025-12-04 22:05:00,2025-12-04 16:35:00,142.87,143.05,142.4,142.49,6784.906,Bearish
2025-12-04 22:10:00,2025-12-04 16:40:00,142.49,142.74,142.45,142.57,3536.107,Bullish
2025-12-04 22:15:00,2025-12-04 16:45:00,142.57,142.88,142.47,142.49,4200.333,Bearish
2025-12-04 22:20:00,2025-12-04 16:50:00,142.49,142.67,142.29,142.4,2097.985,Bearish
2025-12-04 22:25:00,2025-12-04 16:55:00,142.4,142.71,142.25,142.62,2118.634,Bullish
2025-12-04 22:30:00,2025-12-04 17:00:00,142.62,142.8,142.31,142.41,1491.175,Bearish
2025-12-04 22:35:00,2025-12-04 17:05:00,142.41,142.47,142.12,142.24,1353.896,Bearish
2025-12-04 22:40:00,2025-12-04 17:10:00,142.24,142.47,142.01,142.31,1958.603,Bullish
2025-12-04 22:45:00,2025-12-04 17:15:00,142.31,142.42,141.93,142.06,7251.552,Bearish
2025-12-04 22:50:00,2025-12-04 17:20:00,142.06,142.34,141.99,142.19,4504.53,Bullish
2025-12-04 22:55:00,2025-12-04 17:25:00,142.19,142.33,141.89,141.89,3441.188,Bearish
2025-12-04 23:00:00,2025-12-04 17:30:00,141.89,141.92,141.52,141.85,4114.575,Bearish
2025-12-04 23:05:00,2025-12-04 17:35:00,141.85,142.1,141.3,141.39,2769.79,Bearish
2025-12-04 23:10:00,2025-12-04 17:40:00,141.39,141.48,141.11,141.41,9608.9,Bullish
2025-12-04 23:15:00,2025-12-04 17:45:00,141.41,141.52,141.25,141.51,3299.875,Bullish
2025-12-04 23:20:00,2025-12-04 17:50:00,141.51,141.95,141.35,141.94,1782.013,Bullish
2025-12-04 23:25:00,2025-12-04 17:55:00,141.94,142.34,141.94,142.12,2843.888,Bullish
2025-12-04 23:30:00,2025-12-04 18:00:00,142.12,142.19,141.63,141.76,1730.77,Bearish
2025-12-04 23:35:00,2025-12-04 18:05:00,141.76,141.95,141.43,141.69,3359.908,Bearish
2025-12-04 23:40:00,2025-12-04 18:10:00,141.69,141.94,141.57,141.9,1343.609,Bullish
2025-12-04 23:45:00,2025-12-04 18:15:00,141.9,141.9,141.51,141.54,1075.217,Bearish
